year,iso3c,employed,total_hours
1999,CHE,3982884.0719999997,6840202000
1999,GBR,27167078,46515690000
1999,USA,135779000,249154000000
1999,BGR,3318145,5539651000
1999,HRV,1552161,2985015000
1999,CYP,309637,594419000
1999,MLT,148186,323555000
1999,ROU,10855500,20083160000
2000,AUT,3755356,6749594000
2000,BEL,4109700,6530734000
2000,CAN,15065465,26945885000
2000,CRI,1446217,3424041000
2000,CZE,4859341,9234760000
2000,DNK,2755149,4038877000
2000,EST,585300,1157649000
2000,FIN,2299800,3920500000
2000,DEU,39976000,58546226000
2000,GRC,4324316,9299219000
2000,IRL,1772040,3354885000
2000,ISR,2684366.346,5457357000
2000,ITA,22807900,41686015000
2000,JPN,65610000,NA
2000,LVA,923688,1969402000
2000,LTU,1400218,2625578000
2000,LUX,263951,423638000
2000,NLD,8214000,12103363000
2000,NOR,2315000,3352000000
2000,POL,14516600,30219168000
2000,PRT,5041861,9683202000
2000,SVK,2024848,3676330000
2000,SVN,914743,1564272000
2000,ESP,16728300,29326206000
2000,SWE,4347500,7142440000
2000,CHE,4021787.9269999997,6888293000
2000,GBR,27483294,46697399000
2000,USA,139175000,252381000000
2000,BRA,78744515.039,NA
2000,BGR,3239195,5313110000
2000,HRV,1549241,2976888000
2000,CYP,314764,606351000
2000,MLT,146402,328748000
2000,MKD,592810,NA
2000,ROU,10771600,19959764000
2001,AUT,3782312,6746731000
2001,CAN,15204855,26994422000
2001,CRI,1526546,3564551000
2001,CZE,4846390,8836230000
2001,DNK,2782473,4086550000
2001,EST,588600,1159834000
2001,FIN,2335500,3946800000
2001,DEU,39865000,58097389000
2001,GRC,4334453,9284608000
2001,IRL,1821938,3408950000
2001,ISR,2684285.722,5347487000
2001,ITA,23242900,42259453000
2001,JPN,65370000,NA
2001,LTU,1348316,2508212000
2001,LUX,279093,444537000
2001,NLD,8377000,12260221000
2001,NOR,2317000,3299000000
2001,POL,14194800,29577575000
2001,PRT,5130092,9767341000
2001,SVK,2036513,3667216000
2001,SVN,919972,1560136000
2001,ESP,17286000,30469189000
2001,SWE,4437500,7189450000
2001,CHE,4088693.574,6839768000
2001,GBR,27711393,47074508000
2001,USA,139222000,249238000000
2001,BRA,79340589.421,NA
2001,BGR,3214740,5310297000
2001,HRV,1537616,2956398000
2001,CYP,321571,627349000
2001,MLT,148980,321179000
2001,MKD,580043,NA
2001,ROU,10657300,19742440000
2001,ZAF,12076459.04,NA
2002,AUT,3778835,6730279000
2002,BEL,4175500,6654267000
2002,CRI,1549701,3661473000
2002,CZE,4876774,8838481000
2002,DNK,2784200,4072128000
2002,EST,588500,1160928000
2002,FIN,2364400,3978100000
2002,DEU,39674000,57461348000
2002,GRC,4440866,9465217000
2002,ISR,2688318.287,5399451000
2002,ITA,23663600,42618245000
2002,JPN,64607000,NA
2002,LVA,952321,2005440000
2002,LTU,1396729,2557915000
2002,LUX,286814,455394000
2002,NLD,8436000,12197711000
2002,NOR,2319000,3274000000
2002,POL,13766300,28612913000
2002,PRT,5149933,9769342000
2002,SVK,2038414,3575522000
2002,SVN,932641,1604302000
2002,ESP,17732300,31248173000
2002,SWE,4442600,7090630000
2002,CHE,4117908.9880000004,6799733000
2002,GBR,27943903,46982889000
2002,USA,138807000,246602000000
2002,BRA,82416556.502,NA
2002,BGR,3222119,5320556000
2002,HRV,1548764,2978169000
2002,CYP,328297,631389000
2002,MLT,149393,331189000
2002,MKD,598518,NA
2002,ZAF,11965041.440000001,NA
2003,AUT,3803581,6741645000
2003,CAN,15917695,27801744000
2003,CRI,1598578,3766465000
2003,CZE,4838058,8704698000
2003,DNK,2758653,4021640000
2003,EST,601100,1189177000
2003,FIN,2370000,3973100000
2003,DEU,39246000,56634570000
2003,GRC,4491122,9564337000
2003,IRL,1884737,3436428000
2003,ISR,2716238.79,5402680000
2003,ITA,24048900,42911627000
2003,JPN,64641000,NA
2003,LVA,958281,2011766000
2003,LTU,1428916,2591160000
2003,LUX,292537,463931000
2003,NLD,8388000,12054997000
2003,NOR,2285000,3201000000
2003,PRT,5100191,9639132000
2003,SVK,2060466,3497782000
2003,SVN,929248,1601414000
2003,ESP,18314000,32072816000
2003,SWE,4421600,6991600000
2003,CHE,4103217.4590000003,6829976000
2003,GBR,28223073,47113494000
2003,USA,140084000,246070000000
2003,BRA,83770061.785,NA
2003,BGR,3317390,5442215000
