year,country,iso3c,pop,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_population_15_to_65,gdp_ppp_over_pop_adjusted_for_hours,gdp_over_pop_rank,gdp_ppp_over_pop_rank,gdp_ppp_over_population_15_to_65_rank,gdp_ppp_over_pop_adjusted_for_hours_rank
2023,"Macao SAR, China",MAC,704149,66835.06433419134,113183.16304569277,158655.96802797657,67643.66567235906,9,4,4,19
2023,Morocco,MAR,37840044,3729.101721166445,9894.520103667664,15063.041205055484,9817.45786190741,122,120,121,126
2023,Moldova,MDA,2486891,6650.647956542928,17384.376889622665,25456.962590038507,18947.752421378693,97,97,97,89
2023,Madagascar,MDG,30325732,528.6501547570064,1875.1136717039508,3240.5942465874973,2453.775460602016,176,170,173,170
2023,Maldives,MDV,521021,12667.435669579538,24808.70776860664,33881.22758628904,24626.131648024035,68,73,80,79
2023,Mexico,MEX,128455567,13926.113619091417,25601.62554710969,37988.832243768426,22394.473791771125,64,70,71,83
2023,Marshall Islands,MHL,41996,6762.548814172778,7491.3861495598385,11835.83208821771,7264.830107649596,96,128,132,138
2023,North Macedonia,MKD,1811980,8146.467975477489,24872.74092998797,36074.80970443042,27433.260870834732,84,72,73,71
2023,Mali,MLI,23293698,897.4486702905696,2725.955859122974,5377.522083080455,3567.188322893473,165,167,163,163
2023,Malta,MLT,553214,37882.265185681674,62445.6814904198,92897.336011792,56311.91413409851,26,22,24,28
2023,Montenegro,MNE,616177,12016.907421906026,31216.379786197307,47906.78882584202,38269.09147531574,71,63,59,57
2023,Mongolia,MNG,3447157,5764.802812760631,18108.00354966652,28788.18386482334,16813.152320911446,104,91,91,100
2023,Mozambique,MOZ,33897354,608.4427075502559,1657.1097167513133,3060.9298408956224,2167.200143599659,175,176,177,176
2023,Mauritania,MRT,4862989,2149.414087253354,6934.277927524451,12463.360660670616,9859.564646800578,140,134,128,125
2023,Mauritius,MUS,1261041,11416.858992993011,29498.470523874563,41733.59492616984,40967.91280334511,73,65,67,52
2023,Malawi,MWI,20931751,672.8697022225948,1867.673843727044,3370.4458842756576,2442.5799821255973,171,171,171,171
2023,Malaysia,MYS,34308525,11648.674157414343,37247.701100611586,53366.803472653766,30942.98384484342,72,55,55,66
2023,Namibia,NAM,2604172,4742.783826777456,12756.541632628834,21316.033715628804,17336.93310720015,111,111,110,98
2023,Niger,NER,27202843,618.2872290431297,1817.3379529629972,3720.66530913642,2378.17010237519,174,174,170,174
2023,Nigeria,NGA,223804632,1621.1235149774425,6318.15923280435,11645.98615563026,8746.186752065207,151,138,135,130
2023,Nicaragua,NIC,7046310,2530.2910720362433,8043.737114820764,12335.484607819571,7898.638053152666,132,125,129,134
2023,Netherlands,NLD,17879488,62536.73202981484,78215.06630386005,122352.16327246692,83418.41800725168,11,10,8,11
2023,Norway,NOR,5519594,87961.78061350709,104459.81192279451,161150.1988413761,119015.83595200916,4,5,3,1
2023,Nepal,NPL,30896590,1324.031984333724,5181.841674296484,7937.2629730562,5393.656957742956,157,144,148,150
2023,Nauru,NRU,12780,12060.078105910876,12670.553849225427,21628.112487391612,12232.416385089822,70,112,109,114
2023,New Zealand,NZL,5223100,48527.82892001799,54109.80099726848,83557.63071879763,49791.358653054514,22,31,32,42
2023,Oman,OMN,4644384,23295.32995921978,44421.19796003108,63285.56329685173,44039.81994341711,43,47,50,51
2023,Pakistan,PAK,240485658,1407.021350594953,6212.037594745214,10438.787383836478,9363.812356648152,155,139,140,128
2023,Panama,PAN,4468087,18661.767329060513,39695.081958469695,60918.99316059078,40899.77223536751,54,52,53,53
2023,Peru,PER,34352719,7789.870975140367,16717.383103694065,25427.668921506545,12988.481871209167,88,99,98,111
2023,Philippines,PHL,117337368,3725.551204880802,10755.498851539944,16703.97102568833,10917.534441767451,123,116,115,121
2023,Palau,PLW,18058,14565.33025346168,17490.75234163174,25471.613369773066,16589.5089787581,61,95,96,103
2023,Papua New Guinea,PNG,10329931,2994.453326918805,4607.381497065576,7335.608322809776,4494.212747587058,129,148,151,154
2023,Poland,POL,36685849,22112.861574705985,49463.99116942476,74353.36761577171,51151.19314785074,50,38,41,40
2023,Puerto Rico,PRI,3205691,36779.059491385786,47699.561539833376,75327.74781996917,51758.08970908328,28,42,40,38
2023,Portugal,PRT,10525347,27275.11155446913,48758.857022163545,76568.41944877691,53526.73031697702,39,40,38,33
2023,Paraguay,PRY,6861524,6260.455190996664,17465.860971039525,26892.983894707257,16635.599318105935,99,96,93,102
2023,Qatar,QAT,2716391,88184.1863688469,122099.09292080704,147645.08130066463,100735.83968907384,3,3,5,3
2023,Romania,ROU,19056116,18419.41871206441,47903.34114864902,72911.21546507576,50486.85172013957,55,41,42,41
2023,Russian Federation,RUS,143826130,14054.619115701857,44861.87232982623,67699.23559722194,39424.303815470914,62,45,46,55
2023,Rwanda,RWA,14094683,1000.2189228143336,3361.105805655452,5729.503860571156,4735.339041098325,163,157,160,153
2023,Saudi Arabia,SAU,36947025,28894.96335180789,54991.72318002383,77071.29068203509,54831.0514093801,38,29,36,31
2023,Senegal,SEN,17763163,1745.9720675414676,4833.032542809926,8672.660336705238,6871.890237739165,146,147,143,140
2023,Singapore,SGP,5917648,84734.25592060546,141500.22027735767,196037.45297735036,80969.39213617994,5,2,2,13
2023,Solomon Islands,SLB,740424,2203.179125899701,3034.8547515948567,5267.637393502,2808.2226376215353,139,164,164,168
